elapsed_sec,pid,rss_kb,fd_count,thread_count,child_count,screen_count,refresh_file_count
226,112824,44816,6,1,0,1,0
227,112824,44816,6,1,0,1,0
228,112824,44816,6,1,0,1,0
229,112824,44816,6,1,0,1,0
230,112824,44816,6,1,0,1,0
232,112824,44816,6,1,0,1,0
233,112824,44816,6,1,0,1,0
234,112824,44816,6,1,0,1,0
235,112824,44816,6,1,0,1,0
236,112824,44816,6,1,0,1,0
237,112824,44816,6,1,0,1,0
238,112824,44816,6,1,0,1,0
239,112824,44816,6,1,0,1,0
241,112824,44816,6,1,0,1,0
242,112824,44820,9,2,0,1,0
243,112824,44816,6,1,0,1,0
244,112824,44816,6,1,0,1,0
245,112824,44816,6,1,0,1,0
246,112824,44816,6,1,0,1,0
247,112824,44816,6,1,0,1,0
248,112824,44816,6,1,0,1,0
249,112824,44816,6,1,0,1,0
251,112824,44816,6,1,0,1,0
252,112824,44816,6,1,0,1,0
253,112824,44816,6,1,0,1,0
254,112824,44816,6,1,0,1,0
255,112824,44816,6,1,0,1,0
256,112824,44816,6,1,0,1,0
257,112824,44820,9,2,0,1,0
259,112824,44816,6,1,0,1,0
260,112824,44816,6,1,0,1,0
261,112824,44816,6,1,0,1,0
262,112824,44816,6,1,0,1,0
263,112824,44816,6,1,0,1,0
264,112824,44816,6,1,0,1,0
265,112824,44816,6,1,0,1,0
266,112824,44816,6,1,0,1,0
267,112824,44816,6,1,0,1,0
268,112824,44816,6,1,0,1,0
270,112824,44816,6,1,0,1,0
271,112824,44816,6,1,0,1,0
272,112824,44816,6,1,0,1,0
273,112824,44816,6,1,0,1,0
274,112824,44820,9,2,0,1,0
275,112824,44816,6,1,0,1,0
276,112824,44816,6,1,0,1,0
277,112824,44816,6,1,0,1,0
279,112824,44816,6,1,0,1,0
280,112824,44816,6,1,0,1,0
281,112824,44816,6,1,0,1,0
282,112824,44816,6,1,0,1,0
283,112824,44816,6,1,0,1,0
284,112824,44816,6,1,0,1,0
285,112824,44816,6,1,0,1,0
286,112824,44816,6,1,0,1,0
288,112824,44816,6,1,0,1,0
289,112824,44816,6,1,0,1,0
290,112824,44816,6,1,0,1,0
291,112824,44820,9,2,0,1,0
292,112824,44816,6,1,0,1,0
293,112824,44816,6,1,0,1,0
294,112824,44816,6,1,0,1,0
295,112824,44816,6,1,0,1,0
297,112824,44816,6,1,0,1,0
298,112824,44816,6,1,0,1,0
299,112824,44816,6,1,0,1,0
300,112824,44816,6,1,0,1,0
301,112824,44816,6,1,0,1,0
302,112824,44816,6,1,0,1,0
303,112824,44816,6,1,0,1,0
304,112824,44816,6,1,0,1,0
306,112824,44816,6,1,0,1,0
307,112824,44820,9,2,0,1,0
308,112824,44816,6,1,0,1,0
309,112824,44816,6,1,0,1,0
310,112824,44816,6,1,0,1,0
311,112824,44816,6,1,0,1,0
312,112824,44816,6,1,0,1,0
313,112824,44816,6,1,0,1,0
314,112824,44816,6,1,0,1,0
316,112824,44816,6,1,0,1,0
317,112824,44816,6,1,0,1,0
318,112824,44816,6,1,0,1,0
319,112824,44816,6,1,0,1,0
320,112824,44816,6,1,0,1,0
321,112824,44816,6,1,0,1,0
322,112824,44816,6,1,0,1,0
323,112824,44820,9,2,0,1,0
325,112824,44816,6,1,0,1,0
326,112824,44816,6,1,0,1,0
327,112824,44816,6,1,0,1,0
328,112824,44816,6,1,0,1,0
329,112824,44816,6,1,0,1,0
330,112824,44816,6,1,0,1,0
331,112824,44816,6,1,0,1,0
332,112824,44816,6,1,0,1,0
333,112824,44816,6,1,0,1,0
335,112824,44816,6,1,0,1,0
336,112824,44816,6,1,0,1,0
337,112824,44816,6,1,0,1,0
338,112824,44816,6,1,0,1,0
339,112824,44816,6,1,0,1,0
340,112824,44820,9,2,0,1,0
341,112824,44816,6,1,0,1,0
342,112824,44816,6,1,0,1,0
344,112824,44816,6,1,0,1,0
345,112824,44816,6,1,0,1,0
346,112824,44816,6,1,0,1,0
347,112824,44816,6,1,0,1,0
348,112824,44816,6,1,0,1,0
349,112824,44816,6,1,0,1,0
350,112824,44816,6,1,0,1,0
351,112824,44816,6,1,0,1,0
353,112824,44816,6,1,0,1,0
354,112824,44816,6,1,0,1,0
355,112824,44816,6,1,0,1,0
356,112824,44820,9,2,0,1,0
357,112824,44820,9,2,0,1,0
358,112824,44816,6,1,0,1,0
359,112824,44816,6,1,0,1,0
360,112824,44816,6,1,0,1,0
361,112824,44816,6,1,0,1,0
363,112824,44816,6,1,0,1,0
364,112824,44816,6,1,0,1,0
365,112824,44816,6,1,0,1,0
366,112824,44816,6,1,0,1,0
367,112824,44816,6,1,0,1,0
368,112824,44816,6,1,0,1,0
369,112824,44816,6,1,0,1,0
370,112824,44816,6,1,0,1,0
372,112824,44816,6,1,0,1,0
373,112824,44820,9,2,0,1,0
374,112824,44816,6,1,0,1,0
375,112824,44816,6,1,0,1,0
376,112824,44816,6,1,0,1,0
377,112824,44816,6,1,0,1,0
378,112824,44816,6,1,0,1,0
379,112824,44816,6,1,0,1,0
381,112824,44816,6,1,0,1,0
382,112824,44816,6,1,0,1,0
383,112824,44816,6,1,0,1,0
384,112824,44816,6,1,0,1,0
385,112824,44816,6,1,0,1,0
386,112824,44816,6,1,0,1,0
387,112824,44816,6,1,0,1,0
388,112824,44816,6,1,0,1,0
390,112824,44820,9,2,0,1,0
391,112824,44816,6,1,0,1,0
392,112824,44816,6,1,0,1,0
393,112824,44816,6,1,0,1,0
394,112824,44816,6,1,0,1,0
395,112824,44816,6,1,0,1,0
396,112824,44816,6,1,0,1,0
397,112824,44816,6,1,0,1,0
398,112824,44816,6,1,0,1,0
400,112824,44816,6,1,0,1,0
401,112824,44816,6,1,0,1,0
402,112824,44816,6,1,0,1,0
403,112824,44816,6,1,0,1,0
404,112824,44816,6,1,0,1,0
405,112824,44820,9,2,0,1,0
406,112824,44816,6,1,0,1,0
407,112824,44816,6,1,0,1,0
409,112824,44816,6,1,0,1,0
410,112824,44816,6,1,0,1,0
411,112824,44816,6,1,0,1,0
412,112824,44816,6,1,0,1,0
413,112824,44816,6,1,0,1,0
414,112824,44816,6,1,0,1,0
415,112824,44816,6,1,0,1,0
416,112824,44816,6,1,0,1,0
418,112824,44816,6,1,0,1,0
419,112824,44816,6,1,0,1,0
420,112824,44816,6,1,0,1,0
421,112824,44816,6,1,0,1,0
422,112824,44820,9,2,0,1,0
423,112824,44816,6,1,0,1,0
424,112824,44816,6,1,0,1,0
425,112824,44816,6,1,0,1,0
426,112824,44816,6,1,0,1,0
428,112824,44816,6,1,0,1,0
429,112824,44816,6,1,0,1,0
430,112824,44816,6,1,0,1,0
431,112824,44816,6,1,0,1,0
432,112824,44816,6,1,0,1,0
433,112824,44816,6,1,0,1,0
434,112824,44816,6,1,0,1,0
435,112824,44816,6,1,0,1,0
437,112824,44816,6,1,0,1,0
438,112824,44816,6,1,0,1,0
439,112824,44820,9,2,0,1,0
440,112824,44816,6,1,0,1,0
441,112824,44816,6,1,0,1,0
442,112824,44816,6,1,0,1,0
443,112824,44816,6,1,0,1,0
444,112824,44816,6,1,0,1,0
446,112824,44816,6,1,0,1,0
447,112824,44816,6,1,0,1,0
448,112824,44816,6,1,0,1,0
449,112824,44816,6,1,0,1,0
450,112824,44816,6,1,0,1,0
451,112824,44816,6,1,0,1,0
452,112824,44816,6,1,0,1,0
453,112824,44816,6,1,0,1,0
455,112824,44820,9,2,0,1,0
456,112824,44816,6,1,0,1,0
457,112824,44816,6,1,0,1,0
458,112824,44816,6,1,0,1,0
459,112824,44816,6,1,0,1,0
460,112824,44816,6,1,0,1,0
461,112824,44816,6,1,0,1,0
462,112824,44816,6,1,0,1,0
464,112824,44816,6,1,0,1,0
465,112824,44816,6,1,0,1,0
466,112824,44816,6,1,0,1,0
467,112824,44816,6,1,0,1,0
468,112824,44816,6,1,0,1,0
469,112824,44816,6,1,0,1,0
470,112824,44816,6,1,0,1,0
471,112824,44820,9,2,0,1,0
473,112824,44816,6,1,0,1,0
474,112824,44816,6,1,0,1,0
475,112824,44816,6,1,0,1,0
476,112824,44816,6,1,0,1,0
477,112824,44816,6,1,0,1,0
478,112824,44816,6,1,0,1,0
479,112824,44816,6,1,0,1,0
480,112824,44816,6,1,0,1,0
481,112824,44816,6,1,0,1,0
483,112824,44816,6,1,0,1,0
484,112824,44816,6,1,0,1,0
485,112824,44816,6,1,0,1,0
486,112824,44816,6,1,0,1,0
487,112824,44816,6,1,0,1,0
488,112824,44820,9,2,0,1,0
489,112824,44816,6,1,0,1,0
490,112824,44816,6,1,0,1,0
492,112824,44816,6,1,0,1,0
493,112824,44816,6,1,0,1,0
494,112824,44816,6,1,0,1,0
495,112824,44816,6,1,0,1,0
496,112824,44816,6,1,0,1,0
497,112824,44816,6,1,0,1,0
498,112824,44816,6,1,0,1,0
499,112824,44816,6,1,0,1,0
501,112824,44816,6,1,0,1,0
502,112824,44816,6,1,0,1,0
503,112824,44816,6,1,0,1,0
504,112824,44820,9,2,0,1,0
505,112824,44816,6,1,0,1,0
506,112824,44816,6,1,0,1,0
507,112824,44816,6,1,0,1,0
508,112824,44816,6,1,0,1,0
509,112824,44816,6,1,0,1,0
511,112824,44816,6,1,0,1,0
512,112824,44816,6,1,0,1,0
513,112824,44816,6,1,0,1,0
514,112824,44816,6,1,0,1,0
515,112824,44816,6,1,0,1,0
516,112824,44816,6,1,0,1,0
517,112824,44816,6,1,0,1,0
518,112824,44816,6,1,0,1,0
519,112824,44816,6,1,0,1,0
521,112824,44820,9,2,0,1,0
522,112824,44816,6,1,0,1,0
523,112824,44816,6,1,0,1,0
524,112824,44816,6,1,0,1,0
525,112824,44816,6,1,0,1,0
526,112824,44816,6,1,0,1,0
527,112824,44816,6,1,0,1,0
528,112824,44816,6,1,0,1,0
529,112824,44816,6,1,0,1,0
530,112824,44816,6,1,0,1,0
531,112824,44816,6,1,0,1,0
533,112824,44816,6,1,0,1,0
534,112824,44816,6,1,0,1,0
535,112824,44816,6,1,0,1,0
536,112824,44816,6,1,0,1,0
537,112824,44820,9,2,0,1,0
538,112824,44816,6,1,0,1,0
539,112824,44816,6,1,0,1,0
540,112824,44816,6,1,0,1,0
541,112824,44816,6,1,0,1,0
542,112824,44816,6,1,0,1,0
544,112824,44816,6,1,0,1,0
545,112824,44816,6,1,0,1,0
546,112824,44816,6,1,0,1,0
547,112824,44816,6,1,0,1,0
548,112824,44816,6,1,0,1,0
549,112824,44816,6,1,0,1,0
550,112824,44816,6,1,0,1,0
551,112824,44816,6,1,0,1,0
553,112824,44816,6,1,0,1,0
554,112824,44820,9,2,0,1,0
555,112824,44816,6,1,0,1,0
556,112824,44816,6,1,0,1,0
557,112824,44816,6,1,0,1,0
558,112824,44816,6,1,0,1,0
559,112824,44816,6,1,0,1,0
560,112824,44816,6,1,0,1,0
561,112824,44816,6,1,0,1,0
562,112824,44816,6,1,0,1,0
564,112824,44816,6,1,0,1,0
565,112824,44816,6,1,0,1,0
566,112824,44816,6,1,0,1,0
567,112824,44816,6,1,0,1,0
568,112824,44816,6,1,0,1,0
569,112824,44816,6,1,0,1,0
570,112824,44820,9,2,0,1,0
571,112824,44816,6,1,0,1,0
572,112824,44816,6,1,0,1,0
573,112824,44816,6,1,0,1,0
574,112824,44816,6,1,0,1,0
576,112824,44816,6,1,0,1,0
577,112824,44816,6,1,0,1,0
578,112824,44816,6,1,0,1,0
579,112824,44816,6,1,0,1,0
580,112824,44816,6,1,0,1,0
581,112824,44816,6,1,0,1,0
582,112824,44816,6,1,0,1,0
583,112824,44816,6,1,0,1,0
584,112824,44816,6,1,0,1,0
585,112824,44816,6,1,0,1,0
587,112824,44820,9,2,0,1,0
588,112824,44816,6,1,0,1,0
589,112824,44816,6,1,0,1,0
590,112824,44816,6,1,0,1,0
591,112824,44816,6,1,0,1,0
592,112824,44816,6,1,0,1,0
593,112824,44816,6,1,0,1,0
594,112824,44816,6,1,0,1,0
596,112824,44816,6,1,0,1,0
597,112824,44816,6,1,0,1,0
598,112824,44816,6,1,0,1,0
599,112824,44816,6,1,0,1,0
600,112824,44816,6,1,0,1,0
