utc	mpv_pid	etimes	estab_count	max_send_q	service_nrestarts
2026-07-10T20:25:25Z	18182	1014	0	0	0
2026-07-10T20:25:30Z	18182	1019	0	0	0
2026-07-10T20:25:35Z	18182	1024	0	0	0
2026-07-10T20:25:40Z	18182	1029	0	0	0
2026-07-10T20:25:46Z	18182	1034	0	0	0
2026-07-10T20:25:51Z	18182	1039	0	0	0
2026-07-10T20:25:56Z	18182	1044	0	0	0
2026-07-10T20:26:01Z	18182	1050	0	0	0
2026-07-10T20:26:06Z	18182	1055	0	0	0
2026-07-10T20:26:11Z	18182	1060	0	0	0
2026-07-10T20:26:17Z	18182	1065	1	0	0
2026-07-10T20:26:22Z	18182	1070	0	0	0
2026-07-10T20:26:27Z	18182	1076	0	0	0
2026-07-10T20:26:32Z	18182	1081	0	0	0
2026-07-10T20:26:37Z	18182	1086	1	0	0
2026-07-10T20:26:43Z	18182	1091	0	0	0
2026-07-10T20:26:48Z	18182	1096	0	0	0
2026-07-10T20:26:53Z	18182	1102	0	0	0
2026-07-10T20:26:58Z	18182	1107	1	0	0
2026-07-10T20:27:03Z	18182	1112	0	0	0
2026-07-10T20:27:08Z	18182	1117	0	0	0
2026-07-10T20:27:14Z	18182	1122	1	0	0
2026-07-10T20:27:19Z	18182	1127	0	0	0
2026-07-10T20:27:24Z	18182	1132	0	0	0
2026-07-10T20:27:29Z	18182	1138	0	0	0
2026-07-10T20:27:34Z	18182	1143	0	0	0
2026-07-10T20:27:39Z	18182	1148	0	0	0
2026-07-10T20:27:44Z	18182	1153	0	0	0
2026-07-10T20:27:50Z	18182	1158	0	0	0
2026-07-10T20:27:55Z	18182	1163	0	0	0
2026-07-10T20:28:00Z	18182	1169	0	0	0
2026-07-10T20:28:05Z	18182	1174	0	0	0
2026-07-10T20:28:10Z	18182	1179	0	0	0
2026-07-10T20:28:16Z	18182	1184	0	0	0
2026-07-10T20:28:21Z	18182	1189	0	0	0
2026-07-10T20:28:26Z	18182	1195	0	0	0
2026-07-10T20:28:31Z	18182	1200	0	0	0
2026-07-10T20:28:36Z	18182	1205	0	0	0
2026-07-10T20:28:42Z	18182	1210	0	0	0
2026-07-10T20:28:47Z	18182	1215	0	0	0
2026-07-10T20:28:52Z	18182	1221	0	0	0
2026-07-10T20:28:57Z	18182	1226	0	0	0
2026-07-10T20:29:02Z	18182	1231	0	0	0
2026-07-10T20:29:07Z	18182	1236	0	0	0
2026-07-10T20:29:12Z	18182	1241	1	0	0
2026-07-10T20:29:18Z	18182	1246	0	0	0
2026-07-10T20:29:23Z	18182	1251	0	0	0
2026-07-10T20:29:28Z	18182	1257	0	0	0
