utc	mpv_pid	etimes	estab_count	max_send_q	service_nrestarts
2026-07-10T20:00:51Z	14178	300	0	0	0
2026-07-10T20:00:57Z	14178	305	0	0	0
2026-07-10T20:01:02Z	14178	310	0	0	0
2026-07-10T20:01:07Z	14178	316	0	0	0
2026-07-10T20:01:12Z	14178	321	0	0	0
2026-07-10T20:01:17Z	14178	326	0	0	0
2026-07-10T20:01:23Z	14178	331	0	0	0
2026-07-10T20:01:28Z	14178	336	0	0	0
2026-07-10T20:01:33Z	14178	342	0	0	0
2026-07-10T20:01:38Z	14178	347	0	0	0
2026-07-10T20:01:43Z	14178	352	0	0	0
2026-07-10T20:01:49Z	14178	357	0	0	0
2026-07-10T20:01:54Z	14178	362	0	0	0
2026-07-10T20:01:59Z	14178	367	1	0	0
2026-07-10T20:02:04Z	14178	373	0	0	0
2026-07-10T20:02:09Z	14178	378	0	0	0
2026-07-10T20:02:14Z	14178	383	1	0	0
2026-07-10T20:02:20Z	14178	388	0	0	0
2026-07-10T20:02:25Z	14178	393	0	0	0
2026-07-10T20:02:30Z	14178	398	0	0	0
2026-07-10T20:02:35Z	14178	404	0	0	0
2026-07-10T20:02:40Z	14178	409	0	0	0
2026-07-10T20:02:45Z	14178	414	0	0	0
2026-07-10T20:02:51Z	14178	419	0	0	0
2026-07-10T20:02:56Z	14178	424	0	0	0
2026-07-10T20:03:01Z	14178	429	0	0	0
2026-07-10T20:03:06Z	14178	435	0	0	0
2026-07-10T20:03:11Z	14178	440	0	0	0
2026-07-10T20:03:16Z	14178	445	0	0	0
2026-07-10T20:03:22Z	14178	450	0	0	0
2026-07-10T20:03:27Z	14178	455	0	0	0
2026-07-10T20:03:32Z	14178	461	0	0	0
2026-07-10T20:03:37Z	14178	466	0	0	0
2026-07-10T20:03:42Z	14178	471	0	0	0
2026-07-10T20:03:48Z	14178	476	0	0	0
2026-07-10T20:03:53Z	14178	481	0	0	0
2026-07-10T20:03:58Z	14178	486	0	0	0
2026-07-10T20:04:03Z	14178	492	0	0	0
2026-07-10T20:04:08Z	14178	497	1	0	0
2026-07-10T20:04:13Z	14178	502	1	0	0
2026-07-10T20:04:19Z	14178	507	0	0	0
2026-07-10T20:04:24Z	14178	512	0	0	0
2026-07-10T20:04:29Z	14178	517	0	0	0
2026-07-10T20:04:34Z	14178	523	0	0	0
2026-07-10T20:04:39Z	14178	528	0	0	0
2026-07-10T20:04:44Z	14178	533	0	0	0
2026-07-10T20:04:49Z	14178	538	0	0	0
2026-07-10T20:04:55Z	14178	543	0	0	0
2026-07-10T20:05:00Z	14178	548	0	0	0
2026-07-10T20:05:05Z	14178	554	0	0	0
2026-07-10T20:05:10Z	14178	559	0	0	0
2026-07-10T20:05:15Z	14178	564	0	0	0
2026-07-10T20:05:20Z	14178	569	0	0	0
2026-07-10T20:05:26Z	14178	574	0	0	0
2026-07-10T20:05:31Z	14178	579	0	0	0
2026-07-10T20:05:36Z	14178	584	0	0	0
2026-07-10T20:05:41Z	14178	590	0	0	0
2026-07-10T20:05:46Z	14178	595	0	0	0
2026-07-10T20:05:51Z	14178	600	0	0	0
2026-07-10T20:05:57Z	14178	605	0	0	0
2026-07-10T20:06:02Z	14178	610	0	0	0
2026-07-10T20:06:07Z	14178	616	0	0	0
2026-07-10T20:06:12Z	14178	621	0	0	0
2026-07-10T20:06:17Z	14178	626	0	0	0
