utc	mpv_pid	etimes	estab_count	max_send_q	service_nrestarts
2026-07-10T20:16:13Z	18182	462	0	0	0
2026-07-10T20:16:18Z	18182	467	0	0	0
2026-07-10T20:16:23Z	18182	472	0	0	0
2026-07-10T20:16:29Z	18182	477	0	0	0
2026-07-10T20:16:34Z	18182	482	1	0	0
2026-07-10T20:16:39Z	18182	488	1	0	0
2026-07-10T20:16:44Z	18182	493	0	0	0
2026-07-10T20:16:49Z	18182	498	1	0	0
2026-07-10T20:16:54Z	18182	503	0	0	0
2026-07-10T20:16:59Z	18182	508	0	0	0
2026-07-10T20:17:05Z	18182	513	0	0	0
2026-07-10T20:17:10Z	18182	518	0	0	0
2026-07-10T20:17:15Z	18182	524	0	0	0
2026-07-10T20:17:20Z	18182	529	0	0	0
2026-07-10T20:17:25Z	18182	534	0	0	0
2026-07-10T20:17:30Z	18182	539	0	0	0
2026-07-10T20:17:36Z	18182	544	0	0	0
2026-07-10T20:17:41Z	18182	549	0	0	0
2026-07-10T20:17:46Z	18182	555	0	0	0
2026-07-10T20:17:51Z	18182	560	0	0	0
2026-07-10T20:17:56Z	18182	565	0	0	0
2026-07-10T20:18:02Z	18182	570	0	0	0
2026-07-10T20:18:07Z	18182	575	0	0	0
2026-07-10T20:18:12Z	18182	581	0	0	0
2026-07-10T20:18:17Z	18182	586	0	0	0
2026-07-10T20:18:22Z	18182	591	0	0	0
2026-07-10T20:18:27Z	18182	596	0	0	0
2026-07-10T20:18:33Z	18182	601	1	0	0
2026-07-10T20:18:38Z	18182	606	0	0	0
2026-07-10T20:18:43Z	18182	612	0	0	0
2026-07-10T20:18:48Z	18182	617	0	0	0
